id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_115,Wall T50 PIR Galvanized steel sheet/Stainless steel 305,,,P10115,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_116,Wall T75 PIR Color steel sheet/Color steel sheet,,,P10116,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_117,Wall T75 PIR Color steel sheet/Galvanized steel sheet,,,P10117,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_118,Wall T75 PIR Galvanized steel sheet/Galvanized steel sheet,,,P10118,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_119,Wall T75 PIR Stainless steel 304/Stainless steel 304,,,P10119,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_120,Wall T75 PIR Color steel sheet/Stainless steel 304,,,P10120,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_121,Wall T75 PIR Galvanized steel sheet/Stainless steel 305,,,P10121,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_122,Wall T100 PIR Color steel sheet/Color steel sheet,,,P10122,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_123,Wall T100 PIR Color steel sheet/Galvanized steel sheet,,,P10123,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_124,Wall T100 PIR Galvanized steel sheet/Galvanized steel sheet,,,P10124,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
